tcount,eprew_recent,eplen_std,best_eplen,epcount,total_secs,recent_best_eplen,eprew_std,recent_best_ext_ret,n_updates,eplen,recent_worst_eplen,best_ext_ret,rew_mean,eprew
224000.0,-94.55580357142857,0.0,250,896.0,231.31179642677307,250,2.4919069003476033,-86.0,1,250.0,250,-86.0,-0.35732794,-94.52
480000.0,-94.576171875,0.0,250,1920.0,456.5324261188507,250,2.239553526933438,-80.0,2,250.0,250,-80.0,-0.35948554,-94.38
736000.0,-93.40625,0.0,250,2944.0,683.6670134067535,250,2.5407872795651354,-86.0,3,250.0,250,-80.0,-0.3534397,-93.38
992000.0,-93.373046875,0.0,250,3968.0,907.0509052276611,250,2.744011661782799,-86.0,4,250.0,250,-80.0,-0.35448542,-93.52
1248000.0,-92.759765625,0.0,250,4992.0,1134.970457315445,250,2.4261904294593197,-86.0,5,250.0,250,-80.0,-0.35121468,-92.44
1504000.0,-91.8203125,0.0,250,6016.0,1362.034598827362,250,1.8115186998758803,-82.0,6,250.0,250,-80.0,-0.34652665,-91.72
1760000.0,-90.490234375,0.0,250,7040.0,1590.8922219276428,250,2.8716545753276104,-74.0,7,250.0,250,-74.0,-0.3451539,-90.56
2016231.0,-89.26663414634146,0.0,231,8065.0,1817.3884274959564,231,2.729029131394533,31.7,8,250.0,250,31.7,-0.34147507,-89.18
2272429.0,-88.53951219512196,0.0,198,9090.0,2047.172301530838,198,2.880555501982213,47.0,9,250.0,250,47.0,-0.33935708,-88.32
2528841.0,-87.74327485380118,0.0,190,10116.0,2271.483542442322,190,3.0307754783223384,50.0,10,250.0,250,50.0,-0.3376056,-87.88
2788555.0,-84.96109510086455,4.25910788780937,142,11157.0,2497.130313396454,142,17.79200449640231,69.2,11,249.4,250,69.2,-0.32695755,-84.376
3050598.0,-81.72956273764258,5.032484475882664,142,12209.0,2723.520740747452,186,23.95587226548013,51.9,12,249.29,250,69.2,-0.31313372,-82.17200000000001
3313950.0,-76.09285714285714,10.711787899319141,142,13273.0,2948.961211204529,158,35.94485498649285,62.9,13,247.24,250,69.2,-0.2923346,-75.14
3571811.0,-69.62426260704092,15.149980198006864,142,14324.0,3176.6378588676453,142,46.09910995887014,67.8,14,244.91,250,69.2,-0.2701146,-66.119
3825480.0,-57.240151515151524,18.21892148289794,117,15380.0,3403.9791560173035,117,52.784771241334376,79.4,15,242.47,250,79.4,-0.22642466,-57.035
4080208.0,-53.727120223671946,30.73739579079529,117,16453.0,3631.773469686508,122,60.92241019526394,77.3,16,233.95,250,79.4,-0.21433502,-48.34400000000001
4337269.0,-48.95389492753624,24.801661234683454,112,17557.0,3856.599889755249,112,51.54781325138827,81.2,17,239.76,250,81.2,-0.19646735,-60.70700000000001
4593008.0,-38.8108561341571,40.679295716617325,105,18690.0,4080.991061449051,105,67.28304876415753,84.3,18,223.93,250,84.3,-0.16049002,-37.842999999999996
4849695.0,-31.7006902502157,45.911666273399405,100,19849.0,4307.6639358997345,100,70.07123792255992,86.1,19,218.67,250,86.1,-0.13063404,-31.996
5106968.0,-13.365691056910572,44.39078620614869,100,21079.0,4536.462764263153,100,69.90418999602242,86.2,20,217.09,250,86.2,-0.049846392,-24.138999999999996
5363484.0,6.915841584158416,50.43821864419876,100,22392.0,4765.6150686740875,101,69.2035479654042,85.7,21,189.31,250,86.2,0.046793558,14.293
5618044.0,17.10712166172107,50.54641827073408,100,23740.0,4991.872252464294,100,67.72888520417267,86.2,22,184.14,250,86.2,0.099417195,20.547000000000004
5874531.0,31.470612525808672,44.14084729590043,95,25193.0,5217.130879878998,95,58.281360450833674,88.0,23,176.84,250,88.0,0.19078532,34.431999999999995
6133004.0,44.61664524421594,45.69590353631275,90,26749.0,5441.501899719238,90,56.77271214236643,90.1,24,172.38,250,90.1,0.28570914,38.36600000000001
6388997.0,51.65332512315271,38.940378786036476,90,28373.0,5665.363917827606,93,40.57871771014949,89.0,25,154.37,250,90.1,0.33929402,56.463
6644905.0,59.29420625724218,35.95681298446791,90,30099.0,5889.858097076416,93,35.6444994915064,89.1,26,147.26,250,90.1,0.41125447,61.584
6902299.0,65.60382096069868,30.795850369814435,87,31931.0,6116.251543521881,87,32.153384518585284,91.2,27,138.66,250,91.2,0.48408604,66.09199999999998
7158869.0,68.77808870116156,29.39162295620982,87,33825.0,6340.284705877304,90,24.380368003785335,90.2,28,133.15,250,91.2,0.5207677,70.616
7415319.0,71.62878942014243,28.274898761976143,86,35791.0,6564.489858865738,86,28.606224410082493,91.7,29,129.49,250,91.7,0.56370825,70.955
7671881.0,74.81708860759493,27.57226867706029,84,37845.0,6788.85204076767,84,19.033709543859285,92.5,30,126.5,250,92.5,0.6129796,74.30099999999999
7928168.0,76.25445075757575,22.909498030293026,81,39957.0,7012.567184209824,81,9.257746756095676,93.9,31,124.07,250,93.9,0.64227223,76.435
8184448.0,78.539477303989,18.54306069665955,81,42138.0,7234.391100406647,82,17.330196161613404,93.5,32,115.57,250,93.9,0.68113965,78.75100000000002
8440795.0,79.48734290843807,14.392720382193216,80,44366.0,7459.0301861763,80,5.797730159295101,94.3,33,111.64,250,94.3,0.70537823,81.445
8696250.0,80.87113447218572,17.6599093995411,80,46649.0,7681.5650844573975,83,7.100560259585156,93.1,34,110.74,250,94.3,0.7319893,81.76199999999999
8952956.0,81.88620985010706,23.487835149285257,80,48984.0,7905.266711235046,80,9.388738786439848,94.1,35,111.96,250,94.3,0.7596891,81.37199999999999
9209102.0,82.78180672268908,20.500819495815282,78,51364.0,8128.187492609024,78,8.194960585628218,94.9,36,111.42,250,94.9,0.78213257,81.53899999999999
9464916.0,83.53558762886597,14.587199868377756,78,53789.0,8349.893661737442,79,5.839006764853077,94.5,37,105.44,250,94.9,0.8031151,83.9
9720639.0,84.25772986167615,13.477666712009169,77,56247.0,8571.7508456707,77,5.4280319637968235,95.2,38,105.45,250,95.2,0.82038784,83.91300000000001
9977291.0,84.83274760383387,14.579794237231198,77,58751.0,8792.77749657631,77,5.858822407276056,95.3,39,103.36,250,95.3,0.8423051,84.78
10233633.0,85.68250098309083,11.03728227418326,77,61294.0,9015.816477060318,77,4.429169673877938,95.3,40,99.72,250,95.3,0.8628888,86.21599999999997
10489366.0,86.11807557460071,13.64713889428843,73,63861.0,9237.601222276688,73,5.492143843709849,97.0,41,101.34,250,97.0,0.87492824,85.56599999999999
10745457.0,86.54337952270978,11.994544593272394,70,66459.0,9464.06675028801,70,4.7867717722908,98.1,42,97.53,250,98.1,0.890204,87.10400000000001
11002126.0,87.08230827638572,23.78962799204729,70,69093.0,9686.812799930573,74,9.532580762836472,96.5,43,100.56,250,98.1,0.90741116,85.85199999999999
11257762.0,87.30942467827404,17.562676333634347,70,71735.0,9910.734892368317,71,7.029900426037342,97.8,44,98.18,250,98.1,0.9127772,86.83
11512900.0,87.97838240775252,11.993231424432699,70,74418.0,10135.038584947586,72,4.778640392412889,97.3,45,95.32,250,98.1,0.93330806,88.01400000000001
11770138.0,87.94957548911039,7.7773710211098965,70,77127.0,10354.520757198334,73,3.143596666240757,96.9,46,94.35,250,98.1,0.9423072,88.36
12025882.0,88.67231163130944,8.835247591324196,70,79861.0,10575.2150182724,73,3.5498614057453,96.9,47,93.72,237,98.1,0.95928377,88.57799999999997
12281307.0,88.60113345521025,19.513531202732114,70,82596.0,10799.750758886337,72,17.582601172750294,97.3,48,96.61,250,98.1,0.95674217,86.35600000000002
12538159.0,89.25467909645033,11.203655653401706,70,85385.0,11022.660134792328,72,4.48274201800639,97.5,49,92.09,225,98.1,0.98426664,89.26800000000001
12793734.0,89.47846153846153,7.552873625316393,70,88180.0,11245.243109226227,70,3.022494830433958,98.0,50,90.79,250,98.1,0.9875263,89.80499999999998
13050453.0,89.60316163410302,8.916114624655743,70,90995.0,11465.223377466202,72,3.5763730230500284,97.3,51,91.77,236,98.1,0.9973503,89.366
13306666.0,89.88111542534416,7.918655188856249,70,93828.0,11691.893938302994,71,3.232326716159739,97.8,52,89.43,250,98.1,1.0060174,90.30799999999999
13562432.0,90.22369435681739,9.603645141299214,70,96681.0,11917.200343847275,70,3.8190170201244196,98.2,53,90.5,206,98.2,1.0168623,89.90300000000003
13818422.0,90.60006932409013,8.078830360887647,70,99566.0,12142.801402807236,71,3.2389150961394457,97.9,54,88.55,242,98.2,1.0316033,90.67699999999999
14073854.0,90.5587439278279,9.568719872584838,68,102448.0,12368.354979515076,68,3.78547368238111,98.9,55,88.86,250,98.9,1.0312532,90.51700000000001
14330282.0,90.93929427886265,7.732295907426202,67,105367.0,12591.541373729706,67,3.1480285894508646,99.4,56,87.54,230,99.4,1.0471184,91.04600000000002
14586076.0,90.99914471433459,9.47997890293011,67,108290.0,12814.779542684555,70,3.787280158636274,98.2,57,88.9,250,99.4,1.050396,90.54700000000001
14842472.0,91.41926977687625,6.79443890251432,67,111248.0,13036.66613817215,69,2.693340676557646,98.6,58,86.34,207,99.4,1.067571,91.554
15098523.0,91.52375168690959,8.666458330829267,67,114212.0,13262.720759391785,68,3.496597774980703,98.9,59,86.25,189,99.4,1.0705435,91.59799999999997
15354181.0,91.65290951900438,7.268693142511932,67,117185.0,13486.085973024368,69,2.9229156676168393,98.5,60,85.31,250,99.4,1.0745416,91.958
15610198.0,91.79615384615384,7.654090409709047,67,120175.0,13708.635977983475,70,3.09886737373512,98.1,61,86.43,250,99.4,1.0837705,91.51100000000002
15866744.0,92.01180371352784,7.765281707703848,67,123191.0,13931.380239486694,69,3.0923898525250664,98.5,62,85.02,250,99.4,1.0949979,92.095
16122540.0,92.38794466403164,7.156563421084172,67,126227.0,14154.972863435745,67,2.8492235784508035,99.4,63,84.06,181,99.4,1.1080077,92.48500000000001
16378675.0,92.58075040783034,8.295366176366176,67,129292.0,14378.170157432556,68,3.3047202604759143,99.0,64,83.13,250,99.4,1.1183945,92.83200000000001
16634358.0,92.56834697217677,12.893141587681413,66,132347.0,14602.18683385849,66,5.158341206240626,99.8,65,85.37,250,99.8,1.117045,91.946
16890000.0,92.91373501781665,6.8366658540548855,65,135434.0,14825.66248011589,65,2.7693782695760434,100.1,66,83.4,250,100.1,1.1308451,92.71200000000003
17146846.0,93.05626606683803,6.529349125295721,65,138546.0,15048.959860086441,66,2.6244130772422243,99.7,67,81.26,168,100.1,1.1418759,93.58400000000002
17402965.0,93.12207583547558,10.457533169921097,65,141658.0,15272.355847597122,66,4.199889879508747,99.8,68,81.6,250,100.1,1.1424165,93.455
17659140.0,93.24206145966708,6.389835678638379,65,144782.0,15494.689103841782,67,2.6089622457981263,99.4,69,82.1,250,100.1,1.1495246,93.24599999999998
17914741.0,93.42488022995848,6.864080419109322,65,147913.0,15715.297403097153,66,2.749563419890511,99.9,70,81.38,234,100.1,1.1532602,93.551
18170800.0,93.6018389346861,4.881096188357693,65,151067.0,15938.024179697037,67,1.966727230705875,99.3,71,79.57,212,100.1,1.1638297,94.27199999999999
18426771.0,93.66774295663186,12.534253069090317,62,154226.0,16162.201902151108,62,5.047860536900757,101.3,72,81.55,187,101.3,1.1670263,93.44800000000001
18683153.0,93.8521206409048,5.2304779896296285,62,157409.0,16383.227538347244,64,2.0922820077609043,100.4,73,81.11,237,101.3,1.1787896,93.66599999999998
18938836.0,94.1102435977514,6.446704584514479,62,160611.0,16608.515874385834,65,2.5863215190691196,100.2,74,79.6,250,101.3,1.1888431,94.27899999999998
19195188.0,94.20174075225366,6.735606876889417,62,163828.0,16830.298433065414,65,2.7428691182774285,100.1,75,79.54,195,101.3,1.1944578,94.26299999999998
19450705.0,94.3902015503876,8.216446920658589,62,167053.0,17050.550425052643,65,3.333756289832837,100.0,76,78.9,187,101.3,1.1979508,94.513
19707053.0,94.47293464858198,5.173045524640199,62,170297.0,17267.67547225952,65,2.096544776531138,100.2,77,78.14,189,101.3,1.2093464,94.80999999999999
19962950.0,94.67434795949677,6.004531622033479,62,173556.0,17488.129954099655,65,2.392209020967857,100.2,78,77.84,184,101.3,1.2160887,94.944
20218933.0,94.77520635891165,5.120312490463839,62,176827.0,17707.035248994827,65,2.0459645646980307,100.1,79,77.68,154,101.3,1.221688,95.02700000000003
20474743.0,94.79094801223242,6.075360071633615,62,180097.0,17925.168599128723,64,2.417245333018558,100.5,80,77.7,173,101.3,1.221511,95.005
20730680.0,94.88057838660579,5.658126898541601,62,183382.0,18144.88400197029,65,2.276439324910726,100.2,81,78.16,250,101.3,1.2274401,94.76799999999999
20987014.0,95.04532243415076,4.816056478074151,62,186685.0,18364.19868993759,65,1.956603945615975,100.2,82,76.84,248,101.3,1.237698,95.34899999999998
21242880.0,95.00194351655027,5.005157340184223,62,189978.0,18580.857268810272,65,2.003987025906106,100.2,83,76.78,219,101.3,1.2333648,95.39400000000002
21498900.0,95.13500604594921,5.366898545715206,62,193286.0,18799.792547225952,65,2.153671284109996,100.1,84,77.42,210,101.3,1.2406551,95.13000000000002
21755196.0,95.23324324324325,4.959838707054897,62,196616.0,19017.498688220978,65,1.9790260230729655,100.1,85,76.8,250,101.3,1.2499304,95.384
22010853.0,95.45959868224018,4.799208268037552,62,199955.0,19235.539601564407,63,1.9348808748860995,100.9,86,75.74,216,101.3,1.2558458,95.79400000000001
22266920.0,95.62412254610352,5.527847682416728,62,203317.0,19455.9879322052,64,2.2187960699442395,100.6,87,75.77,212,101.3,1.2672364,95.81200000000001
22523022.0,95.63757431629014,5.891892734936711,62,206681.0,19675.51548242569,64,2.366831426189875,100.6,88,75.84,164,101.3,1.2669555,95.75300000000001
22779203.0,95.74850458987265,8.57379146002514,61,210058.0,19894.340371847153,61,3.4387641675462417,101.7,89,76.49,149,101.7,1.2739075,95.50100000000002
23035405.0,95.82242549424609,5.38459840656664,61,213447.0,20113.673733234406,63,2.160255540439603,101.0,90,75.69,250,101.7,1.2800225,95.83599999999997
23291187.0,95.96587161366313,4.662392089904065,61,216843.0,20333.631658792496,64,1.9096332108549021,100.6,91,74.61,151,101.7,1.2834069,96.25100000000002
23547064.0,96.03706314243757,5.740696821815275,61,220248.0,20552.02046251297,64,2.317563375616728,100.6,92,75.38,236,101.7,1.2867286,95.95
23803304.0,96.20533683289588,6.347314392717601,61,223677.0,20771.71635723114,64,2.5532510648191256,100.6,93,74.46,241,101.7,1.3014779,96.29700000000001
24058850.0,96.2467581775701,4.809324276860523,61,227101.0,20990.540989637375,63,1.934157180789607,101.0,94,74.52,228,101.7,1.2965065,96.30599999999998
24315214.0,96.34630113141861,8.963682279063665,61,230548.0,21208.66717529297,62,3.5716489189168645,101.3,95,74.82,242,101.7,1.3087639,96.18199999999999
24571064.0,96.47950795947902,4.515251930955792,61,234003.0,21428.731389284134,63,1.8339847327608807,100.9,96,74.45,133,101.7,1.3132915,96.31
24826802.0,96.5183053788317,4.531875991242479,61,237461.0,21646.192342996597,63,1.874213168238875,100.9,97,73.39,138,101.7,1.3137096,96.73499999999999
25083038.0,96.69655765920827,4.137861766661617,61,240947.0,21865.66097831726,63,1.6523365274664845,101.0,98,72.59,191,101.7,1.3272699,97.072
25339325.0,96.78881898770375,4.2211254423435465,61,244444.0,22086.150613307953,62,1.6793558288820158,101.3,99,72.89,230,101.7,1.333639,96.95800000000003
25595400.0,96.88339988590985,4.7982913625581345,61,247950.0,22308.701469659805,63,1.9383302092264885,100.9,100,73.42,126,101.7,1.3364714,96.72600000000003
25851224.0,96.9371583143508,5.817078304441156,61,251462.0,22528.564348459244,62,2.4189607272545794,101.3,101,73.04,250,101.7,1.341315,96.877
26107215.0,97.04514755959137,4.3531597719357835,61,254986.0,22748.292811393738,63,1.7411961405884173,101.0,102,72.5,180,101.7,1.3471035,97.10600000000001
26363679.0,97.15730812641084,10.062658694400799,61,258530.0,22967.13262963295,62,4.029848012022289,101.4,103,73.23,160,101.7,1.3557695,96.825
26619393.0,97.22447769621682,4.554239782883638,61,262072.0,23185.770447015762,63,1.8465261980269871,101.0,104,71.33,120,101.7,1.354613,97.57900000000001
26874662.0,97.28636748518205,4.943874998419762,61,265615.0,23404.95299935341,62,1.9757962951681027,101.2,105,72.59,168,101.7,1.3587456,97.07699999999998
27131223.0,97.30744680851065,3.8794845018378408,61,269187.0,23623.45410847664,63,1.5683889823637505,101.0,106,71.64,250,101.7,1.3679901,97.43400000000001
27387343.0,97.43814980435998,4.959193482815528,61,272765.0,23842.990057468414,63,2.00112368433338,101.0,107,71.92,250,101.7,1.3712385,97.348
27642975.0,97.59972121550042,4.039108812597155,61,276352.0,24061.373211622238,62,1.660873264279969,101.3,108,70.84,169,101.7,1.3794041,97.76999999999998
27899522.0,97.66604818609802,5.327091138698493,61,279963.0,24279.711997509003,62,2.140073830502116,101.4,109,71.61,250,101.7,1.3866838,97.478
28155408.0,97.81827481338124,4.345388360089349,61,283580.0,24503.07440471649,62,1.75946014447614,101.3,110,70.76,159,101.7,1.3926073,97.83
28411471.0,97.93570839064648,5.443335374565855,61,287215.0,24721.513573884964,61,2.1928910141637226,101.8,111,70.99,143,101.8,1.4011581,97.72300000000001
28667357.0,97.95987908766145,4.181805830021284,61,290854.0,24941.134565114975,62,1.6726039579051584,101.4,112,70.25,250,101.8,1.4027836,98.01400000000001
28923449.0,98.0030701754386,4.3355622472754325,61,294502.0,25163.147650957108,62,1.726771264528108,101.4,113,70.27,250,101.8,1.406304,98.01899999999999
29179151.0,98.16488111505876,2.9535741060620095,61,298161.0,25381.186854600906,63,1.2555540609627294,101.0,114,69.42,156,101.8,1.4144483,98.32799999999999
