eprew_recent_best,wait_step,eprew_std,eplen_std,rets_ext,tcount,wait_policy_inference,rets_int,eplen_histmean,eplen_recent_best,eprew_best,n_updates,eprew_histmean,wait_update,eplen_best,epcount,eplen,eprew,time_elapsed
-68.0,570.7063765525818,2.351328892050993,0.0,-5.9054036,256000,21.321531295776367,0.40532088,250.0,250,-68.0,1,-89.72,431.57052993774414,250,1024,250.0,-89.6015625,903.197099685669
-76.0,565.1853466033936,2.457934675920772,0.0,-9.8607645,512000,20.340547800064087,0.39298066,250.0,250,-68.0,2,-89.24,428.33961963653564,250,2048,250.0,-89.2109375,1468.7536025047302
-76.0,561.8519895076752,2.5920286786411983,0.0,-13.26372,768000,20.118860960006714,0.37503728,250.0,250,-68.0,3,-89.12,425.4432942867279,250,3072,250.0,-88.98828125,2030.6288814544678
-76.0,564.2671113014221,2.7270633270330262,0.0,-16.053595,1024000,19.96914577484131,0.35778585,250.0,250,-68.0,4,-89.18,426.75768184661865,250,4096,250.0,-88.80078125,2594.911315202713
-76.0,565.9560251235962,2.620513715394056,0.0,-18.27554,1280000,19.949142694473267,0.3461291,250.0,250,-68.0,5,-89.32,428.79306173324585,250,5120,250.0,-88.990234375,3160.92450094223
-72.0,568.6783628463745,2.714467323634648,0.0,-19.472229,1568000,19.91600465774536,0.33493367,250.0,250,-68.0,6,-88.42,430.5216648578644,250,6272,250.0,-88.71180555555556,3729.605343580246
-72.0,646.9300999641418,2.769305350448635,0.0,-20.744751,1824000,20.202728271484375,0.3218426,250.0,250,-68.0,7,-88.1,506.5935056209564,250,7296,250.0,-88.41796875,4376.476430416107
-72.0,629.3455541133881,3.1967250993921863,0.0,-21.756306,2080000,20.040192365646362,0.31275252,250.0,250,-68.0,8,-88.02,488.54279613494873,250,8320,250.0,-87.861328125,5005.797087192535
-72.0,639.6454617977142,3.280645405609047,0.0,-22.569963,2336000,20.04875159263611,0.3060107,250.0,250,-68.0,9,-87.16,498.5895485877991,250,9344,250.0,-87.4453125,5645.48993563652
-68.0,585.3057918548584,3.3496384155082226,0.0,-23.053177,2592000,20.14112091064453,0.30348748,250.0,250,-68.0,10,-87.92,444.0498151779175,250,10368,250.0,-87.55078125,6230.776492118835
41.2,558.4285426139832,5.295566512787657,0.6773498184632112,-23.26534,2879977,20.418540000915527,0.2993672,250.0,227,41.2,11,-85.44,423.3187110424042,227,11520,249.98003472222223,-86.09444444444445,6789.621121883392
-72.0,563.5344223976135,3.396919560425298,0.0,-23.671858,3135977,20.152302503585815,0.2940241,250.0,250,41.2,12,-85.94,425.59743452072144,227,12544,250.0,-86.5,7353.186463832855
-72.0,563.3586051464081,3.265418817317349,0.0,-23.76786,3391977,19.87909984588623,0.29043636,250.0,250,41.2,13,-87.14,425.6505832672119,227,13568,250.0,-86.966796875,7916.573979139328
-64.0,558.828937292099,3.5050796704345752,0.0,-23.732443,3647977,20.02265167236328,0.28802678,250.0,250,41.2,14,-86.58,421.9570686817169,227,14592,250.0,-86.6640625,8475.424625635147
-64.0,563.3522770404816,3.4203317724445608,0.0,-23.502802,3903977,19.934420347213745,0.29388058,250.0,250,41.2,15,-87.22,426.27315950393677,227,15616,250.0,-86.7265625,9038.814310312271
-72.0,561.2452235221863,3.2485598772443254,0.0,-23.642235,4191977,19.956422090530396,0.29009616,250.0,250,41.2,16,-86.58,425.154883146286,227,16768,250.0,-86.52604166666667,9600.093202114105
-72.0,564.6491343975067,3.057572741263114,0.0,-24.191729,4447977,20.115200519561768,0.28534177,250.0,250,41.2,17,-86.92,427.6950545310974,227,17792,250.0,-86.529296875,10164.767026901245
-72.0,564.9541926383972,2.8780103762123472,0.0,-24.067066,4703977,19.877094984054565,0.2824017,250.0,250,41.2,18,-86.56,428.62196493148804,227,18816,250.0,-86.66015625,10729.75181221962
-76.0,564.757631778717,2.9103679400774842,0.0,-23.668196,4959977,20.191323041915894,0.28555214,250.0,250,41.2,19,-86.38,427.3861999511719,227,19840,250.0,-86.478515625,11294.525029182434
-68.0,563.7659606933594,2.987050400106004,0.0,-23.575014,5215977,20.116034984588623,0.2857203,250.0,250,41.2,20,-86.18,426.2110767364502,227,20864,250.0,-86.39453125,11858.328773975372
-72.0,562.4988646507263,3.01073303476675,0.0,-23.170383,5503977,19.815398693084717,0.28954974,250.0,250,41.2,21,-86.34,426.03167486190796,227,22016,250.0,-86.35069444444444,12421.022086143494
-72.0,563.2745113372803,2.8582854983346633,0.0,-23.59043,5759977,19.872284412384033,0.29065156,250.0,250,41.2,22,-86.4,426.14985156059265,227,23040,250.0,-86.716796875,12984.32307767868
-72.0,558.557510137558,2.875294545883245,0.0,-23.543434,6015977,19.953147411346436,0.28912234,250.0,250,41.2,23,-87.02,422.34123969078064,227,24064,250.0,-86.66015625,13542.91695022583
-72.0,563.3411774635315,2.8459484279997036,0.0,-23.516794,6271977,19.81427240371704,0.286102,250.0,250,41.2,24,-86.7,426.5462439060211,227,25088,250.0,-86.513671875,14106.287452697754
-72.0,560.1112976074219,3.033099367389888,0.0,-23.290903,6527977,19.896870613098145,0.28665057,250.0,250,41.2,25,-85.38,424.6037611961365,227,26112,250.0,-85.94140625,14666.444155454636
-72.0,562.2337181568146,2.9460080573757,0.0,-23.311707,6784227,20.117382049560547,0.28762296,250.0,250,41.2,26,-85.78,425.33225989341736,227,27137,250.0,-85.99219512195123,15228.702131032944
-72.0,561.8874988555908,3.013030141784672,0.0,-24.081919,7071977,19.9235782623291,0.28231865,250.0,250,41.2,27,-85.66,425.7070565223694,227,28288,250.0,-85.80712423979149,15790.622626304626
-72.0,563.8138477802277,2.9471763157442727,0.0,-24.026096,7327977,20.03343415260315,0.28286704,250.0,250,41.2,28,-85.52,427.486624956131,227,29312,250.0,-85.638671875,16354.465340614319
-72.0,562.7967336177826,3.0268415662111154,0.0,-23.96237,7583977,19.89370346069336,0.27949104,250.0,250,41.2,29,-85.86,426.73054456710815,227,30336,250.0,-85.322265625,16917.293910741806
-68.0,564.2091295719147,3.1617275335002777,0.0,-23.650406,7839977,20.149263381958008,0.28648695,250.0,250,41.2,30,-85.34,427.17082118988037,227,31360,250.0,-85.3359375,17481.53050494194
-72.0,566.2037477493286,3.1360923634858238,0.0,-23.391663,8096227,19.893661499023438,0.2910246,250.0,250,41.2,31,-84.62,430.4276707172394,227,32385,250.0,-84.99317073170732,18047.9121029377
-72.0,563.6548316478729,3.1148145966114273,0.0,-23.56327,8383977,20.291027784347534,0.29039195,250.0,250,41.2,32,-85.02,424.8207812309265,227,33536,250.0,-84.64639443961772,18611.588104486465
-72.0,560.9598696231842,3.028111671756981,0.0,-23.635246,8639977,20.037618160247803,0.2928682,250.0,250,41.2,33,-84.72,424.83443450927734,227,34560,250.0,-84.521484375,19172.564458847046
-68.0,561.7828395366669,3.301175896341179,0.0,-23.363459,8895977,20.11851215362549,0.29598236,250.0,250,41.2,34,-84.1,425.25446009635925,227,35584,250.0,-84.111328125,19734.403705596924
-68.0,561.0618579387665,3.2110842186294115,0.0,-23.123396,9151977,19.854450225830078,0.3029519,250.0,250,41.2,35,-83.32,426.5370101928711,227,36608,250.0,-83.771484375,20295.496553897858
-68.0,560.9095194339752,3.5286854070550295,0.0,-22.979973,9408227,19.987643718719482,0.30607107,250.0,250,41.2,36,-83.06,426.50715827941895,227,37633,250.0,-83.55707317073171,20856.436275720596
-68.0,561.714601278305,3.3047311229435663,0.0,-23.033712,9695977,19.965322494506836,0.30591398,250.0,250,41.2,37,-83.22,426.5842981338501,227,38784,250.0,-83.44569939183319,21418.180996656418
-68.0,562.6575429439545,3.4056026298528925,0.0,-23.324535,9951977,19.84198236465454,0.3016498,250.0,250,41.2,38,-82.92,427.24519968032837,227,39808,250.0,-83.05859375,21980.86583685875
-68.0,562.2007730007172,3.5123633958854343,0.0,-23.154295,10207977,19.86341166496277,0.3069646,250.0,250,41.2,39,-83.6,425.778516292572,227,40832,250.0,-82.916015625,22543.100063085556
-68.0,563.0063891410828,3.3726702525696695,0.0,-23.084997,10463977,19.952444076538086,0.30909604,250.0,250,41.2,40,-83.08,426.76960849761963,227,41856,250.0,-83.009765625,23106.128209590912
36.8,561.391072511673,5.131274250451794,0.062469474967654204,-22.929136,10719975,20.04237461090088,0.30825868,250.0,248,41.2,41,-82.58,425.58618664741516,227,42880,249.998046875,-82.618359375,23667.716779232025
-68.0,561.6007571220398,3.6316353006045667,0.0,-22.579004,11007975,20.252844095230103,0.31800303,250.0,250,41.2,42,-81.9,426.174884557724,227,44032,250.0,-82.61979166666667,24229.349635601044
-72.0,559.8656260967255,3.408582536188006,0.0,-22.987226,11263975,19.883872509002686,0.31978494,250.0,250,41.2,43,-82.86,424.4662597179413,227,45056,250.0,-82.708984375,24789.238189697266
-68.0,563.9681630134583,3.5755568704180543,0.0,-22.997099,11519975,19.93661618232727,0.32199374,250.0,250,41.2,44,-82.4,428.51549553871155,227,46080,250.0,-82.2265625,25353.241606235504
-68.0,562.7863554954529,3.5629534516442933,0.0,-22.806805,11775975,20.1239595413208,0.31780356,250.0,250,41.2,45,-82.34,427.39851450920105,227,47104,250.0,-82.111328125,25916.04935646057
47.7,557.437586069107,5.477684253952165,0.905807387030986,-22.28255,12031946,19.974573135375977,0.32387367,250.0,221,47.7,46,-80.92,422.0741262435913,221,48128,249.9716796875,-81.46513671875,26473.51353430748
-64.0,566.6715743541718,3.7249161064378353,0.0,-22.216711,12319946,20.285001754760742,0.32645118,250.0,250,47.7,47,-81.46,428.39281702041626,221,49280,250.0,-81.66666666666667,27040.21121096611
-68.0,559.2192733287811,3.807256876746972,0.0,-22.703798,12575946,19.87157106399536,0.32049543,250.0,250,47.7,48,-81.4,422.618047952652,221,50304,250.0,-81.337890625,27599.465067625046
-68.0,558.0334022045135,3.9235549307582955,0.0,-22.747166,12831946,20.117820262908936,0.32230192,250.0,250,47.7,49,-80.68,422.89962673187256,221,51328,250.0,-80.935546875,28157.532163858414
48.8,561.9070620536804,5.584597085679055,0.9995115994824673,-22.756422,13087914,19.842276573181152,0.32176226,250.0,218,48.8,50,-80.56,426.6118896007538,218,52352,249.96875,-80.659375,28719.461481809616
-68.0,564.5080494880676,3.88101222097728,0.0,-22.679373,13343914,19.96212124824524,0.32176358,250.0,250,48.8,51,-80.86,426.76450634002686,218,53376,250.0,-80.515625,29284.150665283203
-64.0,563.9303681850433,4.025933044260175,0.0,-22.556755,13600664,19.910224676132202,0.3192229,250.0,250,48.8,52,-80.26,426.93470668792725,218,54403,250.0,-80.04673807205452,29848.124653339386
-64.0,563.6767280101776,4.129465117895238,0.0,-22.961884,13887914,19.843995332717896,0.3173653,250.0,250,48.8,53,-79.0,426.686484336853,218,55552,250.0,-79.33855526544822,30411.83070373535
-68.0,562.33789229393,4.117083264068324,0.0,-22.799576,14143914,19.876625061035156,0.31711134,250.0,250,48.8,54,-79.28,427.10728216171265,218,56576,250.0,-79.357421875,30974.204469919205
-64.0,558.9719483852386,4.0051370059616485,0.0,-22.404797,14399914,19.989023208618164,0.32084817,250.0,250,48.8,55,-78.42,424.7767524719238,218,57600,250.0,-78.45703125,31533.19101667404
-64.0,561.9755654335022,4.425405434176166,0.0,-22.276869,14655914,19.881582260131836,0.31886038,250.0,250,48.8,56,-77.7,425.69774651527405,218,58624,250.0,-78.09765625,32095.19575405121
-68.0,561.0773167610168,3.9760348677316726,0.0,-21.878206,14912664,19.94571876525879,0.32427007,250.0,250,48.8,57,-77.76,424.75889229774475,218,59651,250.0,-77.84615384615384,32656.309873104095
-64.0,559.2960541248322,4.28662707259064,0.0,-21.901508,15199914,20.302075624465942,0.32383174,250.0,250,48.8,58,-76.92,423.8435821533203,218,60800,250.0,-77.2828546562228,33215.62974715233
39.4,562.1357529163361,5.648978726744544,0.24987789987061682,-22.085144,15455906,19.839735507965088,0.318003,250.0,242,48.8,59,-76.76,427.86520171165466,218,61824,249.9921875,-76.6158203125,33777.7943482399
39.4,564.9786305427551,5.663019728229965,0.24987789987061682,-21.90668,15711898,19.87348461151123,0.3168259,250.0,242,48.8,60,-75.9,429.3566563129425,218,62848,249.9921875,-76.1314453125,34342.79925274849
59.2,636.3598299026489,8.22260659129898,2.0921713727994704,-21.81371,15967793,19.911738395690918,0.30951795,250.0,192,59.2,61,-75.28,493.75291323661804,192,63872,249.8974609375,-74.81796875,34979.24541759491
55.9,627.8375825881958,14.618038233399856,3.2073212384728866,-21.617573,16225719,20.14373016357422,0.3099103,249.61,201,59.2,62,-73.304,487.41715264320374,192,64905,249.6863504356244,-72.92381413359148,35607.02623915672
75.0,631.861275434494,19.469116539339435,7.09386179831914,-21.880003,16510523,20.10187339782715,0.2956529,249.61,153,75.0,63,-69.24,491.86113119125366,153,66048,249.172353455818,-70.98486439195102,36238.92785739899
70.3,632.1940557956696,22.871205176260382,5.1954658657755575,-21.848333,16765712,20.146862506866455,0.27926332,249.5,165,75.0,64,-68.676,493.10803151130676,153,67072,249.2080078125,-68.943359375,36871.20493769646
83.3,645.841598033905,28.70381755123719,8.886189927140027,-20.889935,17021279,20.08533477783203,0.26604277,248.63,132,83.3,65,-64.685,505.3617784976959,132,68101,248.36443148688048,-66.81438289601554,37517.037925481796
88.8,648.6285076141357,35.55262758705048,14.467585824819942,-18.830542,17282303,20.1719970703125,0.25997335,246.77,118,88.8,66,-60.62000000000001,508.34915018081665,118,69160,246.4815864022663,-61.486213408876296,38165.735008955
89.3,646.087123632431,31.751388246115408,11.499807619014694,-19.182596,17549632,20.140868186950684,0.2772502,248.6,117,89.3,67,-67.132,505.23923683166504,117,70240,247.52685185185186,-63.48000000000001,38811.8272857666
99.6,596.6860792636871,37.522445848724914,14.50608165927113,-19.060556,17812012,19.99115014076233,0.28833216,247.56,91,99.6,68,-62.37799999999999,457.8682622909546,91,71306,246.13508442776737,-58.31697936210131,39408.578107595444
76.8,641.8787212371826,36.968532203714176,13.638430462759576,-18.335447,18070749,20.091631650924683,0.29341716,248.78,148,99.6,69,-66.065,502.50360894203186,91,72356,246.41619047619048,-59.5655238095238,40050.46246623993
90.2,637.7432856559753,48.094532952194335,19.927644474035926,-17.384995,18333789,20.12222671508789,0.30583057,241.48,115,99.6,70,-44.356,496.83695363998413,91,73440,242.65682656826567,-48.08966789667896,40688.239443063736
83.3,644.3903722763062,49.57259087278821,20.692826031544485,-15.815307,18597992,20.135989665985107,0.29579276,244.05,132,99.6,71,-53.607,504.29571533203125,91,74533,241.7227813357731,-46.18289112534309,41332.824340343475
86.7,644.4550583362579,51.570354062108905,21.897055637484144,-15.149849,18858174,20.11131238937378,0.2932235,243.93,124,99.6,72,-48.006,504.810599565506,91,75612,241.13253012048193,-42.3566265060241,41977.31606769562
95.4,640.5994346141815,54.2208950841942,22.63814541903166,-13.120564,19121602,20.256705284118652,0.2950596,236.42,102,99.6,73,-34.357,499.01933670043945,91,76711,239.69790718835304,-37.46424021838034,42617.90635871887
94.4,649.0132486820221,58.59870230579824,25.77820804476693,-10.85904,19385001,20.134886741638184,0.2900398,234.95,104,99.6,74,-26.798999999999996,507.8568353652954,91,77828,235.80931065353624,-27.495523724261414,43266.985855579376
90.4,645.2526886463165,61.131311038569955,29.701185230621498,-8.478528,19646151,20.064101219177246,0.31009364,228.51,114,99.6,75,-13.938000000000002,505.557142496109,91,78958,231.10619469026548,-17.212123893805305,43912.290055036545
101.1,633.4437556266785,64.13835275154902,36.61384343591564,-7.439633,19907375,20.137935161590576,0.30808878,216.07,88,101.1,76,3.649999999999999,492.811270236969,88,80136,221.7521222410866,-3.2863327674023766,44545.75031375885
97.8,639.3519477844238,62.882156374222845,34.96187250893644,-3.6875927,20171448,20.086026430130005,0.3030576,222.28,96,101.1,77,-1.1850000000000012,500.2640826702118,88,81321,222.8464135021097,-0.5713080168776369,45185.11464166641
