recent_worst_eplen,eplen,recent_best_ext_ret,epcount,eprew_recent,recent_best_eplen,best_eplen,total_secs,eplen_std,best_ext_ret,n_updates,eprew,rew_mean,tcount,eprew_std
500,500.0,-190.0,384.0,-193.66145833333334,500,500,369.8017282485962,0.0,-190.0,1,-193.56,-0.37282404,192000.0,1.0031948963187565
500,500.0,-190.0,896.0,-193.75,500,500,737.330141544342,0.0,-190.0,2,-193.74,-0.37745413,448000.0,0.729657453878188
500,500.0,-190.0,1408.0,-193.8359375,500,500,1102.4031293392181,0.0,-190.0,3,-193.9,-0.3751713,704000.0,0.43588989435406733
500,500.0,-190.0,1920.0,-193.96484375,500,500,1470.0664615631104,0.0,-190.0,4,-193.96,-0.37565598,960000.0,0.39799497484264806
500,500.0,-192.0,2432.0,-193.95703125,500,500,1833.3182682991028,0.0,-190.0,5,-193.9,-0.3756607,1216000.0,0.43588989435406733
500,500.0,-192.0,2944.0,-193.94921875,500,500,2199.4514915943146,0.0,-190.0,6,-193.92,-0.3751668,1472000.0,0.39191835884530857
500,500.0,-190.0,3456.0,-193.89453125,500,500,2563.176286458969,0.0,-190.0,7,-193.9,-0.3746266,1728000.0,0.43588989435406733
500,500.0,-190.0,3968.0,-193.84375,500,500,2933.7727773189545,0.0,-190.0,8,-193.76,-0.374323,1984000.0,0.6499230723708769
500,500.0,-188.0,4480.0,-193.67578125,500,500,3286.975410223007,0.0,-188.0,9,-193.5,-0.37347928,2240000.0,0.9539392014169457
500,500.0,-188.0,4992.0,-193.18359375,500,500,3645.4587099552155,0.0,-188.0,10,-193.06,-0.3717491,2496000.0,1.3101144988129854
500,500.0,-184.0,5504.0,-192.41015625,500,500,3998.686352491379,0.0,-184.0,11,-192.52,-0.37009925,2752000.0,1.6880758276807353
500,500.0,-180.0,6016.0,-191.1484375,500,500,4356.172915458679,0.0,-180.0,12,-190.66,-0.36760172,3008000.0,3.225585218220098
500,500.0,-176.0,6528.0,-188.87109375,500,500,4714.477553129196,0.0,-176.0,13,-188.46,-0.36331993,3264000.0,3.750786584171379
500,500.0,-176.0,7040.0,-186.421875,500,500,5065.044007301331,0.0,-176.0,14,-185.58,-0.35925734,3520000.0,4.692930853954701
500,500.0,-172.0,7552.0,-184.54296875,500,500,5422.531515836716,0.0,-172.0,15,-184.36,-0.35644507,3776000.0,4.4486402416918365
500,500.0,-176.0,8064.0,-182.03125,500,500,5780.451531648636,0.0,-172.0,16,-181.74,-0.35147807,4032000.0,4.114899755765626
500,500.0,-172.0,8576.0,-180.72265625,500,500,6138.041818141937,0.0,-172.0,17,-180.62,-0.3495639,4288000.0,3.9768832017045703
500,500.0,-168.0,9088.0,-180.08984375,500,500,6488.383241891861,0.0,-168.0,18,-180.14,-0.34914324,4544000.0,2.8461201661208895
500,500.0,-172.0,9600.0,-179.17578125,500,500,6848.425680875778,0.0,-168.0,19,-178.8,-0.34768134,4800000.0,2.668332812825266
500,500.0,-172.0,10112.0,-179.109375,500,500,7205.727820158005,0.0,-168.0,20,-178.64,-0.34739563,5056000.0,2.7405109012737023
500,500.0,-156.0,10624.0,-179.03125,500,500,7565.736916065216,0.0,-156.0,21,-179.02,-0.34799746,5312000.0,3.4116858003045945
500,500.0,-164.0,11136.0,-179.32421875,500,500,7923.9280433654785,0.0,-156.0,22,-179.12,-0.34882474,5568000.0,2.16
500,500.0,-172.0,11648.0,-179.93359375,500,500,8283.058085680008,0.0,-156.0,23,-180.1,-0.35047352,5824000.0,1.9261360284258222
500,500.0,-172.0,12160.0,-180.33203125,500,500,8644.054508924484,0.0,-156.0,24,-181.16,-0.3512008,6080000.0,3.288525505450733
500,500.0,-176.0,12672.0,-180.375,500,500,9008.288515090942,0.0,-156.0,25,-180.8,-0.35191312,6336000.0,3.1749015732775083
500,500.0,-176.0,13184.0,-180.8984375,500,500,9368.65862774849,0.0,-156.0,26,-180.86,-0.35182607,6592000.0,2.874091160697586
500,500.0,-176.0,13696.0,-181.17578125,500,500,9730.208208322525,0.0,-156.0,27,-181.18,-0.35382363,6848000.0,2.368037161870565
500,500.0,-176.0,14208.0,-181.3828125,500,500,10094.624388694763,0.0,-156.0,28,-181.34,-0.35402513,7104000.0,2.6085244871382747
500,500.0,-176.0,14720.0,-181.2109375,500,500,10455.242038726807,0.0,-156.0,29,-180.96,-0.35366514,7360000.0,2.35762592452662
500,500.0,-176.0,15232.0,-181.24609375,500,500,10816.855466127396,0.0,-156.0,30,-180.96,-0.35338938,7616000.0,2.340598214132447
500,500.0,-176.0,15744.0,-180.9296875,500,500,11173.925987005234,0.0,-156.0,31,-181.08,-0.35313568,7872000.0,2.4235511135521777
500,500.0,-176.0,16256.0,-181.05859375,500,500,11535.626432180405,0.0,-156.0,32,-181.0,-0.35404414,8128000.0,2.4899799195977463
500,500.0,-176.0,16768.0,-181.1640625,500,500,11905.827605962753,0.0,-156.0,33,-181.1,-0.3535371,8384000.0,2.7766886753829647
500,500.0,-176.0,17280.0,-181.53125,500,500,12275.195652008057,0.0,-156.0,34,-182.12,-0.35441044,8640000.0,3.3444880026694666
500,500.0,-176.0,17792.0,-181.29296875,500,500,12641.719362735748,0.0,-156.0,35,-181.04,-0.35298634,8896000.0,2.340598214132447
500,500.0,-176.0,18304.0,-180.7265625,500,500,13008.52247262001,0.0,-156.0,36,-180.54,-0.3521905,9152000.0,2.169884789568331
500,500.0,-176.0,18816.0,-180.78515625,500,500,13375.961636543274,0.0,-156.0,37,-180.76,-0.35273543,9408000.0,2.1124393482417427
500,500.0,-176.0,19328.0,-180.453125,500,500,13742.168709754944,0.0,-156.0,38,-180.4,-0.3516504,9664000.0,2.3832750575625967
500,500.0,-172.0,19840.0,-180.68359375,500,500,14110.962456941605,0.0,-156.0,39,-180.76,-0.35226429,9920000.0,3.1084401232772683
500,500.0,-172.0,20352.0,-180.9375,500,500,14477.004449605942,0.0,-156.0,40,-180.74,-0.35321867,10176000.0,2.4108919511251434
500,500.0,-172.0,20864.0,-181.0703125,500,500,14847.539480686188,0.0,-156.0,41,-180.98,-0.35341114,10432000.0,2.2714752915231102
500,500.0,-176.0,21376.0,-180.89453125,500,500,15216.847742557526,0.0,-156.0,42,-180.58,-0.3537451,10688000.0,2.337434491060659
500,500.0,-172.0,21888.0,-181.02734375,500,500,15582.806065797806,0.0,-156.0,43,-180.96,-0.35341623,10944000.0,3.255518391900129
500,500.0,-172.0,22400.0,-180.98828125,500,500,15952.052336931229,0.0,-156.0,44,-181.48,-0.3535245,11200000.0,3.1063805304566277
500,500.0,-172.0,22912.0,-180.90625,500,500,16320.71108698845,0.0,-156.0,45,-180.88,-0.35404682,11456000.0,2.2148589119851407
500,500.0,-172.0,23424.0,-180.96875,500,500,16685.708196401596,0.0,-156.0,46,-180.78,-0.3541022,11712000.0,2.447774499417787
500,500.0,-172.0,23936.0,-180.96484375,500,500,17052.51540493965,0.0,-156.0,47,-181.06,-0.35429823,11968000.0,2.0871990801071183
500,500.0,-176.0,24448.0,-181.08203125,500,500,17418.046041965485,0.0,-156.0,48,-180.86,-0.35462514,12224000.0,2.37073828163296
500,500.0,-176.0,24960.0,-181.234375,500,500,17785.031257629395,0.0,-156.0,49,-181.54,-0.35500878,12480000.0,2.1513716554793594
500,500.0,-176.0,25472.0,-181.42578125,500,500,18155.497046232224,0.0,-156.0,50,-181.42,-0.3553048,12736000.0,2.7319590040847976
500,500.0,-172.0,25984.0,-180.7421875,500,500,18522.947687149048,0.0,-156.0,51,-180.7,-0.354003,12992000.0,2.5199206336708304
500,500.0,-176.0,26496.0,-180.76171875,500,500,18887.314165115356,0.0,-156.0,52,-180.72,-0.35389146,13248000.0,1.90829767070025
500,500.0,-172.0,27008.0,-180.44140625,500,500,19256.601761817932,0.0,-156.0,53,-180.2,-0.35370323,13504000.0,1.98997487421324
500,500.0,-172.0,27520.0,-180.46484375,500,500,19618.35665011406,0.0,-156.0,54,-180.3,-0.3531085,13760000.0,2.455605831561735
500,500.0,-172.0,28032.0,-179.98828125,500,500,19980.327425956726,0.0,-156.0,55,-179.76,-0.3523593,14016000.0,2.1029503084951866
500,500.0,-168.0,28544.0,-179.58203125,500,500,20337.48539018631,0.0,-156.0,56,-179.94,-0.35150605,14272000.0,2.9455729493597675
500,500.0,-168.0,29056.0,-179.53125,500,500,20697.646552324295,0.0,-156.0,57,-178.98,-0.35158706,14528000.0,3.1936812614911965
500,500.0,-168.0,29568.0,-179.3203125,500,500,21060.684963703156,0.0,-156.0,58,-179.34,-0.35066858,14784000.0,3.0601307161623015
500,500.0,-168.0,30080.0,-178.703125,500,500,21424.89694929123,0.0,-156.0,59,-178.92,-0.3490454,15040000.0,3.038683925649392
500,500.0,-168.0,30592.0,-178.30859375,500,500,21786.486355304718,0.0,-156.0,60,-178.42,-0.34889096,15296000.0,3.4559513885470086
500,500.0,-168.0,31104.0,-177.93359375,500,500,22144.541315078735,0.0,-156.0,61,-178.0,-0.34805748,15552000.0,3.2741411087489802
500,500.0,-164.0,31616.0,-177.86328125,500,500,22506.275935411453,0.0,-156.0,62,-177.92,-0.34805685,15808000.0,3.9791456369426847
500,500.0,-164.0,32128.0,-177.8046875,500,500,22867.868489265442,0.0,-156.0,63,-177.9,-0.3475947,16064000.0,4.339354790749427
500,500.0,-164.0,32640.0,-177.23828125,500,500,23228.984581708908,0.0,-156.0,64,-176.52,-0.34605685,16320000.0,4.4418014363544
500,500.0,-164.0,33152.0,-176.62109375,500,500,23586.56146836281,0.0,-156.0,65,-176.94,-0.34492567,16576000.0,4.6256242821915405
500,500.0,-164.0,33664.0,-176.7890625,500,500,23943.909601211548,0.0,-156.0,66,-177.74,-0.34505385,16832000.0,4.3049274093763765
500,500.0,-164.0,34176.0,-176.609375,500,500,24306.080429792404,0.0,-156.0,67,-176.56,-0.3451963,17088000.0,4.427911471563089
500,500.0,-164.0,34688.0,-176.61328125,500,500,24666.61922597885,0.0,-156.0,68,-176.58,-0.34408477,17344000.0,4.101658201264459
500,500.0,-164.0,35200.0,-175.82421875,500,500,25025.585200309753,0.0,-156.0,69,-175.84,-0.34298715,17600000.0,3.2946016451158395
500,500.0,-160.0,35712.0,-176.05078125,500,500,25385.458445310593,0.0,-156.0,70,-176.08,-0.34358186,17856000.0,4.620995563728665
500,500.0,-164.0,36224.0,-176.0078125,500,500,25749.2331302166,0.0,-156.0,71,-175.72,-0.34292108,18112000.0,4.915445045974982
500,500.0,-160.0,36736.0,-175.56640625,500,500,26112.036252737045,0.0,-156.0,72,-175.32,-0.34245747,18368000.0,4.6062566146492525
500,500.0,-164.0,37248.0,-175.20703125,500,500,26471.899561166763,0.0,-156.0,73,-174.28,-0.3414082,18624000.0,4.427369422128675
500,500.0,-164.0,37760.0,-175.703125,500,500,26834.193041086197,0.0,-156.0,74,-175.86,-0.34221885,18880000.0,4.263848027310543
500,500.0,-164.0,38272.0,-175.61328125,500,500,27194.90282034874,0.0,-156.0,75,-174.8,-0.34250447,19136000.0,4.681879964287851
500,500.0,-164.0,38784.0,-175.55078125,500,500,27555.00067472458,0.0,-156.0,76,-175.32,-0.34203508,19392000.0,4.666647619008745
500,500.0,-164.0,39296.0,-175.515625,500,500,27915.834818840027,0.0,-156.0,77,-175.92,-0.34174517,19648000.0,3.665187580465698
500,500.0,-164.0,39808.0,-175.06640625,500,500,28276.86922955513,0.0,-156.0,78,-174.96,-0.34106073,19904000.0,4.2188149994992665
500,500.0,-164.0,40320.0,-175.30859375,500,500,28641.001467704773,0.0,-156.0,79,-175.68,-0.34153625,20160000.0,3.6079911308094976
500,500.0,-164.0,40832.0,-174.984375,500,500,29000.844426870346,0.0,-156.0,80,-175.26,-0.34034115,20416000.0,3.7910948286741664
500,500.0,-164.0,41344.0,-175.0625,500,500,29357.37547802925,0.0,-156.0,81,-174.8,-0.34062538,20672000.0,2.912043955712207
500,500.0,-164.0,41856.0,-174.87109375,500,500,29716.11675286293,0.0,-156.0,82,-174.8,-0.34067422,20928000.0,3.773592452822642
500,500.0,-164.0,42368.0,-174.94921875,500,500,30077.110533237457,0.0,-156.0,83,-175.2,-0.34012726,21184000.0,3.4871191548325395
500,500.0,-164.0,42880.0,-174.54296875,500,500,30435.6926882267,0.0,-156.0,84,-174.52,-0.33971795,21440000.0,4.104826427511886
500,500.0,-164.0,43392.0,-174.79296875,500,500,30795.672699451447,0.0,-156.0,85,-174.84,-0.34067586,21696000.0,3.2641078413557354
500,500.0,-164.0,43904.0,-174.98828125,500,500,31158.3593249321,0.0,-156.0,86,-174.56,-0.3405658,21952000.0,2.85769137591868
500,500.0,-164.0,44416.0,-174.68359375,500,500,31518.545278787613,0.0,-156.0,87,-174.36,-0.33950824,22208000.0,3.2047464798326875
500,500.0,-164.0,44928.0,-174.2421875,500,500,31879.522205352783,0.0,-156.0,88,-174.12,-0.3396498,22464000.0,3.0701140043978823
500,500.0,-164.0,45440.0,-174.6640625,500,500,32240.032348394394,0.0,-156.0,89,-174.84,-0.3403408,22720000.0,3.2147161616540894
500,500.0,-160.0,45952.0,-174.73828125,500,500,32600.74990916252,0.0,-156.0,90,-175.16,-0.34061414,22976000.0,2.4195867415738577
500,500.0,-164.0,46464.0,-174.5859375,500,500,32956.70575070381,0.0,-156.0,91,-174.6,-0.33985513,23232000.0,3.117691453623979
500,500.0,-164.0,46976.0,-174.5,500,500,33313.09436893463,0.0,-156.0,92,-174.28,-0.3403593,23488000.0,3.006925339944442
500,500.0,-164.0,47488.0,-174.46875,500,500,33674.65029120445,0.0,-156.0,93,-174.6,-0.34055686,23744000.0,2.6758176320519307
500,500.0,-132.0,48000.0,-174.60546875,500,500,34033.280433893204,0.0,-132.0,94,-174.22,-0.3403373,24000000.0,4.655276576101574
500,500.0,-156.0,48512.0,-174.6328125,500,500,34389.024513721466,0.0,-132.0,95,-174.52,-0.3404513,24256000.0,3.232584105634376
500,500.0,-144.0,49024.0,-174.859375,500,500,34750.43856668472,0.0,-132.0,96,-174.96,-0.3412842,24512000.0,2.806848766855813
500,500.0,101.4,49537.0,-174.43781676413258,292,292,35108.49001598358,0.0,101.4,97,-175.0,-0.34053895,24768292.0,2.734958866235469
500,500.0,-164.0,50049.0,-174.6171875,500,292,35464.00793123245,0.0,101.4,98,-174.44,-0.3406942,25024292.0,2.9336666477294244
500,500.0,81.3,50562.0,-174.43021442495126,332,292,35823.220140218735,0.0,101.4,99,-175.0,-0.3401368,25280624.0,2.734958866235469
500,500.0,-144.0,51074.0,-174.4453125,500,292,36178.869079589844,0.0,101.4,100,-174.96,-0.34056574,25536624.0,2.749254444390333
500,500.0,98.0,51588.0,-173.3782101167315,290,290,36535.189796447754,0.0,101.4,101,-173.96,-0.3390261,25793255.0,3.509757826403411
500,500.0,-164.0,52100.0,-174.734375,500,290,36893.31373000145,0.0,101.4,102,-174.32,-0.34109735,26049255.0,2.9491693745866816
500,498.06,109.2,52613.0,-173.5654970760234,262,262,37253.1936416626,19.302756279868422,109.2,103,-172.083,-0.33922097,26305323.0,27.06410927778707
500,500.0,102.6,53127.0,-173.53151750972765,279,262,37617.02281689644,0.0,109.2,104,-174.34,-0.33889905,26561932.0,3.5106124821745848
500,500.0,-136.0,53639.0,-174.49609375,500,262,37978.092475414276,0.0,109.2,105,-174.54,-0.3409837,26817932.0,3.4392441029970517
500,500.0,94.1,54152.0,-174.17134502923975,300,262,38336.44089245796,0.0,109.2,106,-174.8,-0.34046006,27074232.0,3.1240998703626612
500,500.0,-144.0,54664.0,-174.9921875,500,262,38694.49292302132,0.0,109.2,107,-174.88,-0.34143567,27330232.0,3.2039975031201258
500,498.25,84.2,55177.0,-174.49863547758287,325,262,39049.5330324173,17.41228014936585,109.2,108,-172.798,-0.3409108,27586557.0,25.973594206424337
500,498.04,104.9,55691.0,-173.81439688715955,273,262,39406.650705099106,19.50175376728975,109.2,109,-172.435,-0.33994022,27843134.0,26.80397871585485
500,500.0,97.3,56204.0,-174.52378167641325,302,262,39764.97721552849,0.0,109.2,110,-175.24,-0.34060997,28099436.0,2.9769783338143387
500,500.0,112.6,56717.0,-174.50565302144247,264,262,40121.14560294151,0.0,112.6,111,-175.76,-0.34138256,28355700.0,2.7608694282779838
500,498.55,76.1,57230.0,-175.13040935672512,355,262,40476.7679810524,14.42731783804599,112.6,112,-173.299,-0.34207743,28612055.0,25.18985309603849
500,500.0,-164.0,57742.0,-175.62890625,500,262,40836.31031394005,0.0,112.6,113,-175.56,-0.34309405,28868055.0,2.255304857441672
500,499.19,59.5,58257.0,-174.37844660194173,387,262,41193.43383646011,8.059398240563622,112.6,114,-173.576,-0.3403841,29125288.0,22.212199891050865
500,500.0,34.0,58770.0,-175.31384015594543,460,262,41551.33205699921,0.0,112.6,115,-175.84,-0.34245834,29381748.0,2.1850400453996257
500,500.0,94.3,59284.0,-174.57140077821012,310,262,41911.10723900795,0.0,112.6,116,-175.6,-0.34100947,29638503.0,2.6229754097208
500,500.0,88.2,59797.0,-174.54366471734892,315,262,42268.40878844261,0.0,112.6,117,-175.34,-0.340948,29894746.0,2.482820976228451
500,500.0,103.8,60312.0,-173.86077669902915,276,262,42629.039115190506,0.0,112.6,118,-175.24,-0.33999318,30151848.0,2.510458125522113
500,499.28,71.9,60826.0,-173.53929961089497,356,262,42989.165939331055,7.163909547167663,112.6,119,-172.96900000000002,-0.33892965,30408493.0,22.269017468222525
500,499.65,85.8,61341.0,-173.07941747572815,321,262,43347.089418172836,3.4824560298731693,112.6,120,-173.31799999999998,-0.33865088,30665480.0,20.38487861136288
500,499.17,95.1,61855.0,-174.09922178988327,298,262,43708.22299718857,8.258395727984945,112.6,121,-173.725,-0.34045336,30921994.0,22.734706397928257
500,496.65,101.8,62371.0,-173.66104651162792,281,262,44064.502309799194,24.554989309710567,112.6,122,-170.955,-0.33940378,31179419.0,36.24838306738661
500,498.09,102.1,62885.0,-173.86108949416342,290,262,44422.91653966904,19.004260048736437,112.6,123,-172.65400000000002,-0.34028226,31435897.0,26.542793447563128
500,497.73,104.9,63398.0,-174.5,273,262,44780.90651154518,22.586214822320276,112.6,124,-172.391,-0.34124428,31691994.0,27.983266767838245
500,499.07,90.9,63912.0,-172.9998054474708,308,262,45138.79150414467,9.253383165091567,112.6,125,-172.727,-0.3385962,31948326.0,22.652601859389133
500,498.69,66.7,64425.0,-174.33430799220272,369,262,45495.215628147125,13.034335426096723,112.6,126,-173.293,-0.34032947,32204641.0,24.24757825020882
500,494.02,102.6,64945.0,-170.72326923076923,279,262,45851.53746986389,31.745859572548984,112.6,127,-164.72299999999998,-0.334389,32463428.0,49.09790801042342
500,497.0,80.2,65464.0,-170.6466281310212,345,262,46209.69004511833,15.872617931519677,112.6,128,-166.515,-0.3343529,32721881.0,43.73933327109594
500,500.0,88.6,65978.0,-174.30291828793776,314,262,46569.16822004318,0.0,112.6,129,-175.12,-0.34095758,32978561.0,3.6476841968569595
500,494.74,114.6,66492.0,-172.2330739299611,249,249,46921.37459278107,32.42333110585647,114.6,130,-167.03099999999998,-0.33755034,33234553.0,44.625525643963
500,499.3,93.0,67005.0,-173.07173489278753,303,249,47279.02978014946,6.964912059746339,114.6,131,-173.458,-0.33887696,33490460.0,21.778214711036348
500,500.0,112.9,67519.0,-173.30953307392997,253,249,47637.01672434807,0.0,114.6,132,-175.12,-0.33924,33746874.0,3.5136306009596403
500,498.73,93.3,68037.0,-171.38108108108108,302,249,48000.719850063324,12.636340451254073,114.6,133,-172.03,-0.3352639,34004815.0,24.439498767364277
500,493.97,104.6,68558.0,-163.95969289827255,274,249,48362.571664094925,27.132067742802057,114.6,134,-163.243,-0.32406735,34262066.0,52.241459120127956
500,498.15,96.3,69074.0,-170.4172480620155,295,249,48727.21291565895,17.91165821469358,114.6,135,-170.738,-0.33414352,34518828.0,32.53655722414404
500,500.0,89.7,69588.0,-170.84338521400778,311,249,49087.06273984909,0.0,114.6,136,-175.14,-0.33481836,34774980.0,2.580775077375012
500,496.51,90.5,70102.0,-170.6533073929961,319,249,49447.97683119774,21.848796305517613,114.6,137,-167.81900000000002,-0.3348147,35030848.0,40.930010249204685
500,497.4,114.4,70620.0,-169.54555984555986,249,249,49809.609511613846,18.540226535832836,114.6,138,-169.975,-0.33291936,35288084.0,33.99618618315885
500,491.4,101.0,71144.0,-163.46545801526716,283,249,50168.496500730515,36.88495628301598,114.6,139,-159.269,-0.3220945,35547148.0,58.814480691407965
500,493.33,110.4,71668.0,-162.87442748091604,259,249,50522.84336686134,32.596028899238625,114.6,140,-162.827,-0.32202414,35805406.0,53.44155097861588
500,494.94,108.8,72189.0,-164.16007677543186,271,249,50881.28053498268,28.774579058606573,114.6,141,-167.07,-0.32435372,36062441.0,43.975057703202616
500,486.12,107.7,72715.0,-158.77357414448667,266,249,51238.75744199753,48.243606830335565,114.6,142,-153.056,-0.31525984,36320473.0,70.41094278590509
