n_updates,epcount,total_secs,best_ext_ret,eprew_recent,tcount,eprew_std,eplen_std,recent_worst_eplen,eplen,recent_best_eplen,best_eplen,rew_mean,eprew,recent_best_ext_ret
1,640,304.770354,-130,-140.321875,240000,2.113196631,0,375,375,375,375,-0.35327005,-140.12,-130
2,1280,596.4175949,-130,-140.234375,480000,1.713359273,0,375,375,375,375,-0.36933744,-140.62,-132
3,1920,886.3599405,-130,-140.259375,720000,1.685229955,0,375,375,375,375,-0.36902383,-140.6,-130
4,2688,1169.565983,-128,-140.1770833,1008000,2.116601049,0,375,375,375,375,-0.3641494,-140,-128
5,3328,1455.834254,-128,-139.75,1248000,2.507907494,0,375,375,375,375,-0.3670941,-139.48,-130
6,3968,1742.915094,-128,-139.30625,1488000,2.343586994,0,375,375,375,375,-0.365294,-139.26,-130
7,4736,2030.353195,-128,-138.7552083,1776000,2.845628226,0,375,375,375,375,-0.35924894,-138.68,-130
8,5376,2316.738248,-128,-138.425,2016000,2.863843571,0,375,375,375,375,-0.36285588,-138.72,-128
9,6016,2603.791778,-128,-138.246875,2256000,2.901792549,0,375,375,375,375,-0.362975,-138.86,-128
10,6784,2892.878198,-124,-137.9322917,2544000,3.335326071,0,375,375,375,375,-0.35732684,-137.66,-124
11,7424,3181.444348,-124,-137.6,2784000,3.499657126,0,375,375,375,375,-0.36183456,-137.18,-124
12,8064,3471.194587,-124,-136.975,3024000,4.100926725,0,375,375,375,375,-0.3605546,-136.68,-124
13,8832,3762.814586,-120,-136.796875,3312000,4.010536124,0,375,375,375,375,-0.355174,-137.34,-120
14,9472,4052.871614,-120,-135.19375,3552000,4.587766341,0,375,375,375,375,-0.3559908,-135.18,-120
15,10112,4345.492548,-120,-134.678125,3792000,4.309245874,0,375,375,375,375,-0.3545611,-134.48,-120
16,10880,4636.32231,-116,-132.7760417,4080000,5.0774403,0,375,375,375,375,-0.34416044,-131.86,-116
17,11520,4928.667292,-116,-131.578125,4320000,5.520869497,0,375,375,375,375,-0.3464042,-131.6,-120
18,12160,5224.292631,-116,-130.1125,4560000,4.963023272,0,375,375,375,375,-0.34190583,-129.78,-116
19,12928,5515.993902,-116,-129.4401042,4848000,5.020398391,0,375,375,375,375,-0.33505997,-129.34,-116
20,13568,5813.010417,-116,-127.90625,5088000,4.552977048,0,375,375,375,375,-0.33594406,-127.52,-116
21,14208,6105.256064,-112,-126.884375,5328000,4.923250958,0,375,375,375,375,-0.3340019,-125.96,-112
22,14976,6399.675613,-112,-125.7578125,5616000,4.362155431,0,375,375,375,375,-0.3253346,-125.54,-112
23,15616,6695.599815,-112,-124.5,5856000,4.327770789,0,375,375,375,375,-0.32763553,-124.48,-112
24,16256,6992.36069,-108,-123.81875,6096000,4.510254982,0,375,375,375,375,-0.32719466,-123.76,-108
25,17024,7283.29548,-108,-123.2942708,6384000,4.254127408,0,375,375,375,375,-0.3187249,-123.32,-112
26,17664,7573.304985,-108,-122.609375,6624000,3.660546407,0,375,375,375,375,-0.32380986,-122.98,-116
27,18304,7870.008705,-108,-121.85625,6864000,3.974468518,0,375,375,375,375,-0.32302943,-121.94,-108
28,19072,8163.606271,-104,-121.2473958,7152000,3.788984033,0,375,375,375,375,-0.31303144,-121.94,-104
29,19712,8458.839279,-104,-120.63125,7392000,3.750786584,0,375,375,375,375,-0.31886688,-120.54,-108
30,20352,8754.681871,-104,-120.278125,7632000,3.540112993,0,375,375,375,375,-0.3193011,-120.26,-108
31,21120,9049.279361,135,-119.4726563,7919993,3.510612482,0,375,375,368,368,-0.3087109,-119.34,135
32,21760,9344.202055,135,-119.646875,8159993,3.650972473,0,375,375,375,368,-0.3163031,-119.48,-108
33,22401,9639.922381,135,-119.0951638,8400368,3.364461324,0,375,375,375,368,-0.31698975,-119.02,-104
34,23168,9935.649529,135,-119.0065189,8687993,3.504283094,0,375,375,375,368,-0.30741617,-118.6,-108
35,23808,10228.37859,135,-118.240625,8927993,3.318794962,0,375,375,375,368,-0.31279972,-118.16,-104
36,24449,10520.84625,135,-118.4586583,9168368,3.057842377,0,375,375,375,368,-0.3151557,-118.64,-92
37,25216,10819.93614,135,-117.833116,9455993,2.678731043,0,375,375,375,368,-0.30448762,-118.38,-92
38,25856,11120.46595,135,-117.80625,9695993,2.964051282,0,375,375,375,368,-0.31154564,-118.12,-92
39,26497,11417.2491,135,-117.2480499,9936368,3.479942528,0,375,375,375,368,-0.31236625,-117.9,-76
40,27264,11706.88182,162.6,-116.5363755,10223917,3.458323293,0,375,375,299,299,-0.30044883,-116.6,162.6
41,27904,12003.93362,162.6,-116.30625,10463917,3.781851398,0,375,375,375,299,-0.3075578,-116.76,-68
42,28547,12298.93112,162.6,-115.0681182,10705019,3.720430083,0,375,375,352,299,-0.30618805,-115.72,141.2
43,29312,12589.4069,162.6,-115.040915,10991845,4.934612447,0,375,375,326,299,-0.29669303,-115.64,151.7
44,29952,12886.3595,162.6,-113.6920312,11231818,6.550603026,0,375,375,350,299,-0.3009487,-114.36,142.1
45,30600,13180.21907,162.6,-113.678858,11474783,5.668721196,0,375,375,354,299,-0.30241895,-114.16,137.6
46,31360,13477.59115,162.6,-112.6082895,11759660,5.861740356,0,375,375,329,299,-0.2900086,-113.8,150.6
47,32000,13775.93483,162.6,-111.8232813,11999603,5.682112283,0,375,375,350,299,-0.29585794,-113.56,138.8
48,32665,14071.46927,172.4,-108.0079699,12248689,36.22469703,5.573472885,375,374.42,274,274,-0.28663176,-107.425,172.4
49,33408,14364.73497,172.4,-107.0212651,12526985,7.074913427,0,375,375,306,274,-0.27552664,-110.16,159.8
50,34050,14659.82277,172.4,-102.1309969,12767205,26.12793478,0.298496231,375,374.97,285,274,-0.27141425,-105.868,168.3
51,34738,14953.4788,172.4,-103.1047965,13024683,25.48833998,0.099498744,375,374.99,301,274,-0.27269092,-106.455,161.6
52,35456,15248.4185,193.3,-97.65766017,13292677,35.42193129,2.687303481,375,374.72,222,222,-0.25189048,-104.528,193.3
53,36104,15543.07387,193.3,-89.6220679,13534083,50.06454006,9.095251508,375,373.58,231,222,-0.24115591,-95.827,189.6
54,36837,15837.58427,193.3,-82.80436562,13806893,81.97463395,14.16238327,375,370.37,270,222,-0.212055,-73.417,174.2
55,37506,16137.24132,193.3,-79.67772795,14055284,61.61248166,13.63144893,375,371.94,252,222,-0.21179473,-88.048,173.2
56,38183,16435.11128,193.3,-76.47680945,14306409,75.0569164,13.46588282,375,371.5,266,222,-0.2038546,-76.97,175.7
57,38904,16729.86376,193.3,-88.56532594,14575099,50.71784825,10.61225706,375,373,256,222,-0.22998203,-93.037,179.6
58,39559,17026.04265,193.3,-96.84473282,14820084,25.69649089,2.288471105,375,374.77,285,222,-0.25683507,-100.866,168
59,40248,17323.25515,193.3,-96.70290276,15077778,37.27507761,9.465748782,375,373.86,282,222,-0.25417128,-97.783,169.3
60,40955,17619.01694,198.8,-93.21697313,15341631,45.78772214,12.09704096,375,372.96,208,208,-0.24287544,-95.701,198.8
61,41614,17918.57364,198.8,-88.27268589,15587139,64.17997245,10.63226693,375,372.43,251,208,-0.23432599,-84.744,181.7
62,42322,18211.94238,198.8,-78.10621469,15849904,72.45867906,17.59501066,375,370.66,231,208,-0.20424919,-77.727,189.8
63,43012,18509.3831,198.8,-68.33478261,16105053,73.386626,13.51331196,375,371.48,238,208,-0.17958152,-72.982,187
64,43712,18805.65334,198.8,-41.89985714,16360017,105.3333164,31.05701048,375,360.89,233,208,-0.11061828,-40.269,189
65,44432,19104.03529,199.1,-6.040277778,16616317,115.4751361,35.48279019,375,356.54,208,208,-0.012228848,-15.757,199.1
66,45139,19401.49924,199.1,-25.91089109,16872274,114.6502587,28.30197696,375,360.09,233,208,-0.066981934,-16.217,189.1
67,45859,19693.3155,199.1,-0.586111111,17129210,118.1029157,28.18930826,375,358.73,221,208,0.00397616,-2.201,193.6
68,46586,19992.5588,199.1,30.41348006,17382506,120.4245377,29.42277349,375,356.98,210,208,0.088857256,8.147,198
69,47337,20284.81584,202.5,31.41198402,17642740,124.1896297,37.78174162,375,345.8,199,199,0.10200214,33.126,202.5
70,48091,20581.08545,204.1,48.14442971,17899173,119.3501169,40.90762643,375,334.69,195,195,0.14702554,70.798,204.1
71,48838,20875.03875,204.1,50.18099063,18154785,120.372115,37.02076579,375,344.27,232,195,0.15086706,49.171,189.2
72,49591,21171.10228,204.1,58.17290837,18410595,119.1010971,40.88003914,375,337.32,202,195,0.17618021,66.837,201.3
73,50365,21467.25868,204.1,81.07260982,18666177,123.2035336,45.49440735,375,334.17,204,195,0.250433,62.05,200.6
74,51155,21760.80712,204.1,95.07873418,18922976,108.6601178,42.34034837,375,325.07,212,195,0.3003817,96.114,197.3
75,51954,22054.0295,204.1,105.8921151,19177736,108.117528,43.116883,375,322.12,206,195,0.3328291,99.412,199.8
76,52766,22345.14989,204.1,113.5121921,19434666,92.87915255,43.7455552,375,309.92,204,195,0.3670174,123.561,200.4
77,53597,22635.74295,205.2,121.4375451,19690993,103.9514217,48.25694872,375,308.87,192,192,0.39851034,113.715,205.2
78,54438,22933.08952,205.2,122.9643282,19947469,101.4863056,45.80532174,375,305.65,193,192,0.4111806,118.476,205
79,55296,23231.29529,205.2,129.8782051,20204809,102.8461651,46.27800666,375,301.81,203,192,0.44161814,118.682,200.8
80,56166,23531.07643,206.9,145.1591954,20459742,65.66655535,46.34134223,375,284.4,188,188,0.49903437,154.303,206.9
81,57053,23832.01036,208.8,146.3036077,20716617,78.14982958,46.61709021,375,289.13,183,183,0.5131388,145.356,208.8
82,57952,24132.77474,213,151.1124583,20973629,60.31363437,43.23551781,375,288.9,173,173,0.53683335,154.447,213
83,58851,24431.44537,213,151.219911,21229870,55.43859843,40.2514832,375,286.59,186,173,0.5361524,157.498,207.6
84,59747,24730.54154,213,149.9739955,21485450,65.30665984,40.98358086,375,284.81,185,173,0.53149635,153.959,208.1
85,60656,25026.61489,213,154.2933993,21740714,58.50857218,42.50590077,375,276.22,179,173,0.55212724,160.059,210.4
86,61592,25322.85384,213,161.8304487,21998432,59.33355209,39.63133104,375,270.76,178,173,0.59929883,162.386,210.8
87,62532,25620.20689,213,163.6968085,22254993,74.72454785,43.48985629,375,276.82,181,173,0.60729617,152.807,209.6
88,63478,25915.75118,213,165.1427061,22510188,59.98839764,42.44045711,375,275.26,185,173,0.6150592,160.557,208.3
89,64436,26213.30956,213,169.8372651,22766116,29.16952895,36.3034654,375,270.28,178,173,0.64178765,171.691,210.8
90,65404,26510.24271,213,168.5914256,23021763,56.96700248,43.37960235,375,264.01,180,173,0.6434384,167.073,210.1
91,66387,26805.31899,213,172.028179,23279238,32.22173768,39.68450075,375,258.98,179,173,0.6681271,175.911,210.7
92,67366,27099.65977,213.5,171.8670072,23535245,49.35212786,35.45506875,375,260.09,172,172,0.66339207,170.926,213.5
93,68355,27393.64841,217.3,174.5444894,23790110,50.16623425,40.8889655,375,258.05,162,162,0.679581,171.571,217.3
94,69355,27690.18026,217.3,176.4267,24046764,14.30104877,34.93547767,375,252.18,179,162,0.69676805,180.702,210.6
95,70358,27986.17097,217.3,175.3091725,24302449,55.93174194,41.44568011,375,253.66,176,162,0.69410264,171.362,211.6
96,71381,28283.03065,219.5,180.1958944,24559625,28.91847387,31.61622843,375,250.71,157,157,0.72605354,179.437,219.5
97,72397,28581.11837,219.5,179.1051181,24814444,13.19501948,32.48859954,375,249.47,171,157,0.7163058,181.931,213.8
98,73430,28883.22327,219.5,180.1499516,25071656,47.41536882,37.86179605,375,248.38,173,157,0.7345843,175.98,212.8
99,74474,29181.95149,219.5,182.2176245,25327862,40.44390011,38.66445396,375,248.8,170,157,0.7501327,177.888,214.1
100,75527,29479.93293,219.5,183.2175689,25585510,30.73529455,32.66312906,375,245.6,163,157,0.76108295,181.487,217.1
101,76575,29777.70382,219.5,183.4834924,25839475,11.87733657,29.39234594,375,245.5,172,157,0.75759304,183.874,213.4
102,77628,30074.11853,219.5,182.7988604,26095917,42.62061374,36.43964188,375,241.35,171,157,0.7596843,180.622,213.9
103,78708,30363.74624,219.5,185.3263889,26353902,29.9252818,31.18731152,375,241.54,171,157,0.7885566,183.197,213.7
104,79784,30661.29286,219.5,185.9234201,26609568,11.56076278,28.82154749,375,238.28,172,157,0.7894258,186.742,213.4
105,80862,30956.12076,219.5,185.5447124,26864129,11.47048818,28.29569579,375,232.44,166,157,0.78738123,189.001,215.7
106,81953,31250.65606,219.5,186.5437214,27119713,9.989827376,24.84486869,375,233.45,162,157,0.80228305,188.507,217.4
107,83061,31543.33512,219.5,188.5766245,27376691,10.57346679,26.18320072,375,230.2,157,157,0.82190406,189.8,219.3
108,84173,31837.1605,219.5,189.4758094,27632833,10.61667556,25.89442218,375,228.83,165,157,0.8325148,190.52,216
109,85285,32136.5248,219.5,189.3388489,27888548,9.523180981,23.21305452,375,226.79,159,157,0.82767385,191.232,218.4
110,86408,32434.18029,219.5,190.509528,28145365,9.316412614,22.55076717,368,226.23,165,157,0.8444873,191.316,216.2
111,87535,32731.69446,219.5,191.0369122,28400915,30.80034578,30.46342069,375,230.8,165,157,0.8474346,187.09,216.2
112,88676,33023.91612,219.5,191.5865031,28657105,12.41431851,30.28006605,375,228.76,165,157,0.8609268,190.564,216.2
113,89815,33320.32203,221.4,191.9282704,28913201,9.993092614,24.67391132,375,224.09,152,152,0.86098975,192.41,221.4
114,90975,33616.46081,221.4,193.1591379,29170447,10.44656901,26.27766352,375,220.38,163,152,0.8837981,193.886,216.9
115,92131,33910.98033,221.7,193.8388408,29424691,9.192679914,22.97419422,375,214.92,151,151,0.88161504,196.006,221.7
116,93294,34205.45838,221.7,193.4299226,29681781,10.09979287,24.86619191,375,221.45,160,151,0.8869853,193.472,218.3
117,94467,34503.73782,222.1,194.9190111,29937232,9.226274654,22.7113716,361,216.56,150,150,0.90055484,195.416,222.1
118,95644,34805.65838,222.1,195.1202209,30193044,9.187263956,22.9665387,372,211.59,162,150,0.90518427,197.491,217.5
119,96831,35105.29105,222.1,195.5357203,30449248,9.476560558,23.70754099,375,212.55,154,150,0.9142165,197.1,220.4
120,98020,35405.39183,222.1,196.0042893,30705080,9.181571706,22.97402664,351,214.29,159,150,0.91842026,196.421,218.7
121,99221,35704.53034,222.1,196.3032473,30962581,8.974457699,21.92262758,354,211.72,154,150,0.93042403,197.353,220.7
122,100409,36006.10661,222.1,196.4861111,31216716,10.99001929,27.47634619,346,215.52,154,150,0.91829884,195.926,220.6
123,101625,36306.56961,222.1,197.0828125,31473805,8.586557168,21.47970903,375,206.39,151,150,0.94504815,199.494,221.9
124,102825,36605.93523,223.4,196.3259167,31730295,30.00935681,26.67667708,375,213.93,147,147,0.9262013,194.152,223.4
125,104036,36903.44433,223.4,197.3229562,31986301,8.646542662,21.54042711,375,212.5,150,147,0.9425817,197.05,222
126,105252,37200.18039,223.4,197.9998355,32241781,10.11955454,25.340661,339,209.03,149,147,0.94767845,198.504,222.5
127,106472,37500.25972,223.4,196.9486066,32498943,9.528625294,22.69232469,375,212.28,151,147,0.94664663,197.05,221.8
128,107705,37795.45034,223.4,198.8211679,32755012,8.401098976,21.04837048,375,207.69,150,147,0.9703861,199.056,222.3
129,108934,38097.25157,223.4,198.5701383,33011490,9.289565329,22.80937307,346,208.55,152,147,0.9577116,198.624,221.4
130,110163,38394.93745,223.4,199.354109,33265636,8.832417563,22.12002712,363,207.62,154,147,0.96393096,199.08,220.6
131,111408,38691.96338,223.4,199.548996,33522513,9.891802869,24.7486141,333,208.81,152,147,0.9789123,198.594,221.3
132,112665,38990.42466,226,200.1210819,33780016,7.931237671,19.84712574,326,209.54,140,140,0.99274266,198.237,226
133,113901,39290.85369,226,200.0484628,34033451,8.587473377,21.48511112,341,203.7,146,140,0.97250855,200.649,223.7
134,115165,39586.63384,226,200.3655063,34291647,8.944729118,22.34676487,352,203.39,148,140,0.9997999,200.761,223
135,116410,39886.88476,226,200.215502,34545916,8.378798184,20.93193493,375,203.79,148,140,0.98014337,200.521,223.1
136,117692,40184.7833,226,201.9418097,34802848,7.73277725,19.34241712,336,200.53,151,140,1.0213839,201.934,221.6
137,118967,40486.39703,226,201.7763137,35058910,8.322859845,20.79441031,333,202.85,151,140,1.012116,201.002,221.8
138,120253,40786.54032,226,202.5397356,35314599,7.827567374,19.57003832,318,197.44,141,140,1.026091,203.133,225.8
139,121544,41077.13673,226,202.8604183,35570277,8.900712106,22.00291799,331,198.46,148,140,1.0307463,202.582,222.8
140,122852,41372.89655,227.2,203.4717125,35827400,8.009078349,20.03609493,344,198.57,137,137,1.049288,202.692,227.2
141,124158,41672.64382,227.2,203.5807044,36083701,8.189827593,20.51015358,326,195.56,142,137,1.04689,203.882,225.2
142,125470,41965.09693,227.2,204.3157012,36338799,7.942055401,19.83271035,292,192.94,140,137,1.0564361,204.934,226.2
143,126785,42260.87853,227.2,204.1008365,36595216,8.882632268,22.18245027,297,200.67,142,137,1.0567498,201.862,225.3
144,128108,42552.21404,227.8,204.5918367,36851525,8.811014925,21.75162293,341,193.87,136,136,1.0659419,204.496,227.8
145,129437,42844.24704,227.8,204.5217457,37108790,8.501462462,21.27941729,375,191.92,144,136,1.0729591,205.356,224.6
146,130753,43141.88999,227.8,204.5239362,37363411,8.178189531,20.4730921,375,194.55,140,136,1.0578474,204.304,226.1
147,132093,43439.3961,227.8,205.4725373,37620113,8.889675978,22.24567374,299,191.9,140,136,1.0856034,205.381,226.2
148,133427,43737.70841,227.8,205.7904048,37874593,10.65523364,26.6034509,354,191.42,144,136,1.0802922,205.586,224.4
149,134786,44039.33573,227.8,206.0261221,38132389,7.38551684,18.29614987,375,191.47,141,136,1.1039369,205.379,225.7
150,136137,44337.55295,227.8,206.2759437,38388419,8.151429997,20.16864894,347,188.16,144,136,1.0969658,206.783,224.5
151,137493,44634.6209,227.8,206.8551622,38643483,9.470369528,23.70477589,369,190.06,139,136,1.1059061,206.099,226.5
152,138861,44931.27104,227.8,207.1734649,38899296,6.800392342,16.97061873,375,185.59,139,136,1.1147447,207.908,226.6
153,140238,45227.67552,227.8,207.5095861,39156112,8.639357615,21.27808967,289,184.77,141,136,1.1281843,208.15,225.8
154,141613,45526.65995,227.8,207.6501091,39411494,8.256514761,19.94160224,375,188.05,137,136,1.1223174,206.842,227.3
155,143011,45825.03392,227.8,208.5481402,39668610,7.912972829,19.82465889,296,184.77,139,136,1.1489663,208.131,226.7
156,144392,46124.44447,228.1,208.1296162,39923979,7.238893286,18.02959789,290,183.44,135,135,1.1314764,208.668,228.1
157,145790,46422.6009,228.1,208.9722461,40179579,6.917700413,17.24550666,270,181.85,136,135,1.151344,209.389,227.9
158,147196,46719.32836,228.1,208.7676387,40437335,8.127495248,19.97791531,348,186.73,137,135,1.1555611,207.361,227.4
159,148602,47015.91667,228.1,209.5319346,40692424,7.974088725,19.84642033,274,181.86,140,135,1.1620642,209.303,226.2
160,150000,47306.36529,228.1,208.5165951,40949014,7.993026648,20.00858816,375,184.58,144,135,1.147747,208.295,224.4
161,151402,47605.87404,228.1,209.3259629,41204174,7.685462836,19.21685718,276,178.82,140,135,1.1539067,210.619,226.2
